title,description
Изгой-один. Звёздные войны: Истории,"сентябре 2022 года. В начале фильма Джин Эрсо вспоминает, как 15 лет назад её отца, военного инженера Галена Эрсо, нашёл один из высокопоставленных руководителей..."
Со Геррера,"капитан Рекс. В «Изгое-один» Со является приёмным родителем и наставником Джин Эрсо в боевых действиях, а также лидером Партизан, анархистской повстанческой..."
Кассиан Андор,"«Изгой-один», который в тот момент возглавляла сержант Повстанческого Альянса Джин Эрсо[англ.]. Изначально планировалось убить всех членов «Изгоя-один», в том..."
Звезда Смерти,"спроектирована конструктором Галеном Эрсо: удар по реактору должен был привести к цепной реакции, которая её разрушит. Гален Эрсо смог передать данную информацию..."
"Джонс, Фелисити",Истории Rogue One: A Star Wars Story Джин Эрсо 2017 мс Звёздные войны: Силы Судьбы Star Wars: Forces of Destiny Джин Эрсо 2018 кор Прелести главной героини...
"Кейн, Валин","Райли Коннорс в фильме «Экс-патриот» и Лиру Эрсо, жену создателя Звезды Смерти Галена Эрсо и мать Джин Эрсо, в фильме «Изгой-один. Звёздные войны: Истории»..."
Звёздные войны: Силы Судьбы,"Повстанческого Альянса, введённая в мультфильме Войны клонов. Фелисити Джонс — Джин Эрсо, впервые появилась в фильме Изгой-один, приходит на помощь Альянсу Повстанцев..."
Чиррут Имве,"на планете Джеда со своим другом Бейзом Мальбусом, где спасает жизни Джин Эрсо (Фелисити Джонс) и её спутникам. После того, как персонаж Имве и его немногословный..."
Премия «Сатурн» лучшей киноактрисе,Рэйчел Уотсон • Фелисити Джонс «Изгой-один. Звёздные войны: Истории» Джин Эрсо • Дженнифер Лоуренс «Пассажиры» Аврора Лейн • Наргес Рашиди (нем.) «В...
Список киноактёров «Звёздных войн»,Хефф Тоббер Тоби Хефферман Стордан Тонк Джордан Стефенс Гален Эрсо Мадс Миккельсен Лира Эрсо Валин Кейн Ки'раTS Эмилия Кларк Тобиас Беккет Вуди Харрельсон...
"Сатурн (премия, 2017)",Уотсон) • Фелисити Джонс — «Изгой-один. Звёздные войны: Истории» (за роль Джин Эрсо) • Дженнифер Лоуренс — «Пассажиры» (за роль Авроры Лейн) • Наргес Рашиди —...
Премия MTV Movie & TV лучшему герою,Силач) — Люк Кейдж Грант Гастин (Барри Аллен / Флэш) — Флэш Фелисити Джонс (Джин Эрсо) — Изгой-один. Звёздные войны: Истории 27-я 2018 Чедвик Боузман (Т’Чалла...
Умершие в октябре 2017 года,"переводчик [283]. Бонд, Тера (39) — венгерская актриса [284]. Вентуорт, Джин (89) — американская пианистка [285]. Херлин, Никлас (53) — финский журналист..."
"Империя (кинопремия, 2017)",актриса • Фелисити Джонс — «Изгой-один. Звёздные войны: Истории» (за роль Джин Эрсо) • Натали Портман — «Джеки» (за роль Джеки Кеннеди) • Эми Адамс — «Прибытие»...
"Ганн, Анна",Sleepwalkers Энджи Гилпин Эпизод: «Night Terrors» 1997-2002 Практика The Practice Джин Уорд 10 эпизодов 1999 Скорая помощь ER Адвокат Экабо Эпизод: «Point of Origin»...
Лёгкая атлетика на летних Олимпийских играх 2024 — квалификация,Мелисса Джефферсон[англ.] Ша’Карри Ричардсон Тваниша Терри 2  Германия Джина Люккенкемпер Ребекка Хазе 2  Либерия Дестини Смит-Барнетт[англ.] Тельма...
"Борджиа, Лукреция","Это произведение — последнее завершенное в жизни автора. Виктория Холт/Джин Плейди, дилогия, состоящая из романов «Мадонна Семи Холмов» и «Опороченная..."
Анжелика в гневе,Молин Джино Мартурано — Родогон Розальба Нери — Ла Поллак Михаэль Мюнцер — «красавчик» Доминик Вирио — Лино Патрик Леметр — Флипо Элизабет Эрси — Розина...
Умершие в марте 2024 года,"(2009—2012) [145]. Озтан, Бахар[тур.] (61) — турецкая актриса [146]. Сантуш, Джина[порт.] (96) — португальская актриса [147]. Шоу, Сара-Энн[англ.] (90) — американская..."
Чемпионат мира по футболу 1954 (составы),марта 1931 23 2 1 10 Джино Каппелло Болонья 2 июня 1920 34 1 0 11 Бенито Лоренци Интернационале 20 декабря 1925 28 3 1 18 Джино Пивателли Болонья 27 марта...
