title,description
Хафизов,"Хафи́зов — тюркоязычная фамилия, образованная от имени Хафиз. Имеет женскую форму Хафизова. Хафизов, Айдар Садриевич (1943—2020) — советский и российский..."
"Хафизов, Вадим Феликсович","завода, где Хафизов, неспособный из-за юношеской травмы быть игроком, стал помогать тренерам. В 31 год стал главным тренером. В 2002 г. Хафизов стал главным..."
Хафиз,"Хафи́з (араб. حافظ причастие «учащий наизусть; охранитель») — хранитель Корана, запоминающий его наизусть. Мусульманин, причисляемый к духовному сословию..."
"Хафизов, Тимур Рамилевич","Тимур Рамилевич Хафизов (род. 20 июня 1998, Казань) — российский хоккеист, нападающий «Сочи». Начал заниматься хоккеем с пяти лет в школе казанского «Ак..."
"Хафизов, Сангин","Сангин Хафизов — советский хозяйственный, государственный и политический деятель. Родился в 1937 году в Душанбе. Член КПСС с 1965 года. С 1962 года —..."
Хафиз (значения),"Ха́физ (араб. حافظ) — человек, выучивший наизусть весь Коран или большое количество хадисов. Персоналии: Аль-Хафиз Лидиниллах (1076—1149) — халиф Фатимидского..."
"Хафизов, Олег Эсгатович","2020 года. Хафизов, Олег Эсгатович в библиотеке Максима Мошкова Олег Хафизов в «Журнальном зале» Олег Хафизов в журнале «Наша улица» Олег Хафизов в журнале..."
"Хафизов, Айдар Садриевич","Айда́р Садри́евич Хафи́зов (тат. Айдар Садри улы Хафизов; 20 мая 1943, Конь, Пестречинский район, Татарская АССР, РСФСР, СССР — 13 декабря 2020, Казань..."
"Махлуф, Хафиз","Хафиз Махлуф (араб. حافظ مخلوف ; 2 апреля 1971 (1971-04-02), Дамаск, Сирия) — полковник, руководитель дамасского отделения Главного управления безопасности..."
"Асад, Хафез","В Википедии существуют статьи о других людях с именем Хафез и фамилией Асад. Ха́фез аль-А́сад (араб. حافظ الأسد; 6 октября 1930, Кардаха — 10 июня 2000..."
"Хафизов, Фаиз Закиевич","Фаиз Закиевич Хафизов (род. 25 августа 1938, Туймазинский район, Башкирская АССР) — инженер-геолог, Лауреат Государственной премии СССР в области науки..."
"Хафизов, Мидхат Габдраупович",Хафизов Мидхат Габдраупович  (неопр.). Дата обращения: 29 марта 2013. Архивировано из оригинала 23 июля 2013 года. Александр Наровлянский. Хафизов Мидхат...
"Хафизов, Ильдар Шавкатович",Профиль на Army WCAP  (англ.) Ильдар Хафизов — олимпийская статистика на сайте Sports-Reference.com (англ.) Ильдар Хафизов — профиль на сайте International...
Хафиз Ширази,"Муха́ммад Хафи́з (Хафе́з) Ширази́ (перс. خواجه شمس‌الدین محمد حافظ شیرازی, также иногда упоминается в источниках как Шамсиддин Мухаммад Хафиз Ширази, в..."
Диван Хафиза,"Диван Хафиза — это сборник поэм, написанных иранским поэтом Хафизом Ширази. Большинство поэм написано на персидском языке, часть — на макаронном языке..."
"Хафизов, Ринат Касимович","Рина́т Каси́мович Хафи́зов (24 августа 1961, Октябрьский, СССР — 1996) — советский спортсмен, чемпион Европы по спортивной акробатике. Заниматься спортом..."
Хафиз Мохаммад Саид,"Хафиз Мохаммад Саид — пакистанский исламский радикал, основатель и лидер террористической организации Лашкар-э-Тайба (LeT). Это группировка, известная..."
"Рустамова, Фарида Хафиз кызы","Фарида́ Хафи́з кызы́ Руста́мова (азерб. Fəridə Xafiz qızı Rüstəmova; род. 1992, Москва) — российская журналистка азербайджанского происхождения. В 2014 году..."
Запасы полезных ископаемых,"ru/upload/iblock/cb9/cb903e93d4527af5b8c6a76ae36fe070.pdf (недоступная ссылка) Ф. З. Хафизов, Новая методика оценки подтверждаемости запасов при переводе их в более..."
Заид ибн Султан Аль Нахайян,"орден государства. В городе Гудермес Чеченской Республики построена школа хафизов имени шейха. Похоронен по правую сторону Мечети шейха Заида, со дня похорон..."
